filename,read_tps,write_tps,combined_tps,platform
2601.07192v1_Relink Constructing Query-Driven Evidence Graph On.pdf,2831.7,388.0,164.1,Windows RTX 4080 (Server Mode)
2601.07197v1_Beyond Variance Knowledge-Aware LLM Compression vi.pdf,4366.6,320.0,211.4,Windows RTX 4080 (Server Mode)
2601.07199v1_Forward versus Backward Comparing Reasoning Object.pdf,4964.1,261.8,194.4,Windows RTX 4080 (Server Mode)
2601.07200v1_Safeguarding LLM Fine-tuning via Push-Pull Distrib.pdf,4668.9,305.2,236.4,Windows RTX 4080 (Server Mode)
2601.07201v1_CalPro Prior-Aware Evidential--Conformal Predictio.pdf,5287.6,263.9,177.3,Windows RTX 4080 (Server Mode)
