filename,platform,prompt_tokens,completion_tokens,total_time_sec,tokens_per_second,valid_json
2601.13735v1_Reasoning or Fluency Dissecting Probabilistic Conf.pdf,AMD RX 6800 (Vulkan),942,134,5.22167444229126,25.66226628659773,True
2601.13749v1_Pro-AI Bias in Large Language Models.pdf,AMD RX 6800 (Vulkan),860,103,4.09518837928772,25.151468128046137,True
2601.13752v1_Finding RELIEF Shaping Reasoning Behavior without .pdf,AMD RX 6800 (Vulkan),969,171,6.370675086975098,26.84173932360968,True
2601.13761v1_DARC Decoupled Asymmetric Reasoning Curriculum for.pdf,AMD RX 6800 (Vulkan),919,131,5.00044584274292,26.197663992325513,True
2601.13768v1_vLinear A Powerful Linear Model for Multivariate T.pdf,AMD RX 6800 (Vulkan),999,179,6.634064197540283,26.9819517372726,True
2601.13770v1_Look-Ahead-Bench a Standardized Benchmark of Look-.pdf,AMD RX 6800 (Vulkan),1005,118,4.694007873535156,25.13843248224714,True
2601.13798v1_Insight Interpretable Semantic Hierarchies in Visi.pdf,AMD RX 6800 (Vulkan),838,142,5.4091715812683105,26.25170931751155,True
2601.13809v1_DroneVLA VLA based Aerial Manipulation.pdf,AMD RX 6800 (Vulkan),922,165,6.113482713699341,26.989525893360472,True
2601.13846v1_Virtual Urbanism An AI-Driven Framework for Quanti.pdf,AMD RX 6800 (Vulkan),1029,165,6.149970054626465,26.82939892949149,True
2601.13864v1_HardSecBench Benchmarking the Security Awareness o.pdf,AMD RX 6800 (Vulkan),952,196,7.17536997795105,27.315664642001977,True
2601.13880v1_LifeAgentBench A Multi-dimensional Benchmark and A.pdf,AMD RX 6800 (Vulkan),936,174,6.469544887542725,26.895245805472573,True
2601.13885v1_Confident Rankings with Fewer Items Adaptive LLM E.pdf,AMD RX 6800 (Vulkan),952,147,5.552736759185791,26.473432178613653,True
2601.13887v1_Human Simulation Computation A Human-Inspired Fram.pdf,AMD RX 6800 (Vulkan),782,105,4.004301309585571,26.221802976876152,True
2601.13895v1_OmniOVCD Streamlining Open-Vocabulary Change Detec.pdf,AMD RX 6800 (Vulkan),1017,157,5.949258804321289,26.389842023003247,True
2601.13897v1_TractRLFusion A GPT-Based Multi-Critic Policy Fusi.pdf,AMD RX 6800 (Vulkan),908,162,5.996775388717651,27.0145185535525,True
2601.13904v1_PREFAB PREFerence-based Affective Modeling for Low.pdf,AMD RX 6800 (Vulkan),997,157,6.010027647018433,26.123007949537055,True
2601.13920v1_Asymmetric regularization mechanism for GAN traini.pdf,AMD RX 6800 (Vulkan),914,185,6.83598518371582,27.062668368663722,True
2601.13938v1_IF-GEO Conflict-Aware Instruction Fusion for Multi.pdf,AMD RX 6800 (Vulkan),910,134,5.1689043045043945,25.924256303841208,True
2601.13942v1_Glance-or-Gaze Incentivizing LMMs to Adaptively Fo.pdf,AMD RX 6800 (Vulkan),962,203,7.392551422119141,27.460072769004594,True
2601.13948v1_Stream-Voice-Anon Enhancing Utility of Real-Time S.pdf,AMD RX 6800 (Vulkan),889,152,5.696968078613281,26.6808586431467,True
2601.13964v1_RL-BioAug Label-Efficient Reinforcement Learning f.pdf,AMD RX 6800 (Vulkan),853,144,5.377462863922119,26.77842760497872,True
2601.13969v1_Autonomous Knowledge Graph Exploration with Adapti.pdf,AMD RX 6800 (Vulkan),1073,141,5.514996767044067,25.566651433519027,True
2601.13992v1_The Whole Is Greater Than the Sum of Its Parts A C.pdf,AMD RX 6800 (Vulkan),923,180,6.629445314407349,27.15159285028229,True
2601.13994v1_torch-sla Differentiable Sparse Linear Algebra wit.pdf,AMD RX 6800 (Vulkan),910,131,5.068248987197876,25.84719107741134,True
2601.13999v1_DAME Duration-Aware Matryoshka Embedding for Durat.pdf,AMD RX 6800 (Vulkan),821,134,5.057603120803833,26.494763784213784,True
2601.14012v1_MATE Matryoshka Audio-Text Embeddings for Open-Voc.pdf,AMD RX 6800 (Vulkan),897,159,6.031614542007446,26.36110097763003,True
2601.14022v1_Credible CO2 Comparisons A Machine Learning Approa.pdf,AMD RX 6800 (Vulkan),856,118,4.60208797454834,25.640535481415,True
2601.14027v1_Numina-Lean-Agent An Open and General Agentic Reas.pdf,AMD RX 6800 (Vulkan),889,185,6.864010334014893,26.95217387468441,True
