filename,platform,prompt_tokens,completion_tokens,total_time_sec,tokens_per_second,valid_json
2601.07474v1_Task Prototype-Based Knowledge Retrieval for Multi.pdf,AMD RX 6800 (Vulkan),969,113,5.152798175811768,21.929832324977113,True
2601.07475v1_ARCQuant Boosting NVFP4 Quantization with Augmente.pdf,AMD RX 6800 (Vulkan),941,141,5.592658758163452,25.211622252866068,True
2601.07477v1_JudgeFlow Agentic Workflow Optimization via Block .pdf,AMD RX 6800 (Vulkan),945,137,5.217783212661743,26.25636106681257,True
2601.07496v1_Graph Inference Towards ICD Coding.pdf,AMD RX 6800 (Vulkan),939,110,4.357530355453491,25.24365661901447,True
2601.07514v1_Data-Driven Stochastic VRP Integration of Forecast.pdf,AMD RX 6800 (Vulkan),487,143,4.8894524574279785,29.246628583688686,True
2601.07516v1_Controlling Multimodal Conversational Agents with .pdf,AMD RX 6800 (Vulkan),980,130,5.024518251419067,25.87312723230417,True
2601.07518v1_Mon3tr Monocular 3D Telepresence with Pre-built Ga.pdf,AMD RX 6800 (Vulkan),919,163,6.034249544143677,27.012472521656612,True
2601.07525v1_Thinking Before Constraining A Unified Decoding Fr.pdf,AMD RX 6800 (Vulkan),909,147,5.549145698547363,26.490564131066368,True
2601.07528v1_From RAG to Agentic RAG for Faithful Islamic Quest.pdf,AMD RX 6800 (Vulkan),947,196,7.263264179229736,26.98511236318347,True
2601.07553v1_VirtualEnv A Platform for Embodied AI Research.pdf,AMD RX 6800 (Vulkan),1031,131,5.065025091171265,25.863642853091342,True
2601.07556v1_Backpropagation-Free Test-Time Adaptation for Ligh.pdf,AMD RX 6800 (Vulkan),950,164,6.0773961544036865,26.985241019900513,True
2601.07565v1_A Unified Framework for Emotion Recognition and Se.pdf,AMD RX 6800 (Vulkan),830,195,7.01350474357605,27.803502974544692,True
2601.07568v1_d3LLM Ultra-Fast Diffusion LLM using Pseudo-Trajec.pdf,AMD RX 6800 (Vulkan),1037,164,6.152323961257935,26.65659367626469,True
2601.07573v1_A Model of Artificial Jagged Intelligence.pdf,AMD RX 6800 (Vulkan),567,101,3.6835575103759766,27.419145680636067,True
2601.07577v1_Beyond Entangled Planning Task-Decoupled Planning .pdf,AMD RX 6800 (Vulkan),937,145,5.543108701705933,26.15860662363976,True
2601.07580v1_Large Language Models for Physics Instrument Desig.pdf,AMD RX 6800 (Vulkan),761,130,4.827087879180908,26.931351418043636,True
2601.07582v2_ES-Mem Event Segmentation-Based Memory for Long-Te.pdf,AMD RX 6800 (Vulkan),934,195,7.124619007110596,27.369884593882677,True
2601.07597v1_Pheromone-Focused Ant Colony Optimization algorith.pdf,AMD RX 6800 (Vulkan),832,146,5.419057130813599,26.9419562251561,True
2601.07606v1_Proof of Time A Benchmark for Evaluating Scientifi.pdf,AMD RX 6800 (Vulkan),930,169,6.244853973388672,27.062282115829014,True
2601.07611v1_DIAGPaper Diagnosing Valid and Specific Weaknesses.pdf,AMD RX 6800 (Vulkan),870,146,5.421617269515991,26.92923397985155,True
2601.07618v1_Neural Architecture for Fast and Reliable Coagulat.pdf,AMD RX 6800 (Vulkan),891,132,4.979549884796143,26.508420048773935,True
2601.07632v2_GeoMotionGPT Geometry-Aligned Motion Understanding.pdf,AMD RX 6800 (Vulkan),939,179,6.565817594528198,27.262408287000614,True
2601.07635v2_Learning About Learning A Physics Path from Spin G.pdf,AMD RX 6800 (Vulkan),903,159,5.863454103469849,27.117121954771964,True
2601.07638v1_SALT-KG A Benchmark for Semantics-Aware Learning o.pdf,AMD RX 6800 (Vulkan),913,157,5.799692392349243,27.070401217676487,True
2601.07641v1_Beyond Static Tools Test-Time Tool Evolution for S.pdf,AMD RX 6800 (Vulkan),938,198,7.229522228240967,27.387701946132044,True
2601.07651v1_Active Evaluation of General Agents Problem Defini.pdf,AMD RX 6800 (Vulkan),902,116,4.5273520946502686,25.622040781204323,True
2601.07654v1_Towards Automating Blockchain Consensus Verificati.pdf,AMD RX 6800 (Vulkan),645,111,4.124765634536743,26.91061985936724,True
2601.07663v2_Reasoning Models Will Blatantly Lie About Their Re.pdf,AMD RX 6800 (Vulkan),970,105,4.244719982147217,24.736614062085934,True
2601.07666v1_Variational Contrastive Learning for Skeleton-base.pdf,AMD RX 6800 (Vulkan),653,122,4.486589193344116,27.19214858828345,True
2601.07667v1_Adaptive Layer Selection for Layer-Wise Token Prun.pdf,AMD RX 6800 (Vulkan),1013,132,5.080710172653198,25.980619935867796,True
2601.07685v1_Predictive Analytics for Dementia Machine Learning.pdf,AMD RX 6800 (Vulkan),911,146,5.417938470840454,26.947519021446517,True
2601.07701v1_Deep Whole-body Parkour.pdf,AMD RX 6800 (Vulkan),805,137,5.084903001785278,26.94250017196004,True
2601.07718v1_Hiking in the Wild A Scalable Perceptive Parkour F.pdf,AMD RX 6800 (Vulkan),584,145,5.029549837112427,28.829617897423525,True
2601.07737v1_Evaluating the encoding competence of visual langu.pdf,AMD RX 6800 (Vulkan),216,71,2.3265416622161865,30.517398915765707,True
2601.07748v1_Improving Domain Generalization in Contrastive Lea.pdf,AMD RX 6800 (Vulkan),800,119,4.516812086105347,26.346015227436347,True
2601.07778v1_DT-ICU Towards Explainable Digital Twins for ICU P.pdf,AMD RX 6800 (Vulkan),431,129,4.379540920257568,29.4551420682726,True
2601.07779v1_OS-Symphony A Holistic Framework for Robust and Ge.pdf,AMD RX 6800 (Vulkan),1110,281,10.064152479171753,27.920880628701024,True
2601.07782v1_Beyond Single-Shot Multi-step Tool Retrieval via Q.pdf,AMD RX 6800 (Vulkan),881,101,4.025549411773682,25.089742956477284,True
2601.07790v1_Benchmarking Small Language Models and Small Reaso.pdf,AMD RX 6800 (Vulkan),749,151,5.514591217041016,27.3819026754666,True
2601.07794v1_Kinship Data Benchmark for Multi-hop Reasoning.pdf,AMD RX 6800 (Vulkan),815,112,4.268230199813843,26.240384130379105,True
2601.07821v1_Failure-Aware RL Reliable Offline-to-Online Reinfo.pdf,AMD RX 6800 (Vulkan),871,183,6.562519073486328,27.88563323790563,True
2601.07832v2_MHLA Restoring Expressivity of Linear Attention vi.pdf,AMD RX 6800 (Vulkan),737,170,6.034219741821289,28.172656494721792,True
2601.07885v1_Small Symbols Big Risks Exploring Emoticon Semanti.pdf,AMD RX 6800 (Vulkan),977,155,5.8425610065460205,26.52946196476812,True
2601.07891v1_KVzap Fast Adaptive and Faithful KV Cache Pruning.pdf,AMD RX 6800 (Vulkan),743,109,4.160959243774414,26.195882635256453,True
2601.07892v1_Sherry Hardware-Efficient 1.25-Bit Ternary Quantiz.pdf,AMD RX 6800 (Vulkan),1010,186,6.9062018394470215,26.93231450862041,True
2601.07894v1_Revealing the Attention Floating Mechanism in Mask.pdf,AMD RX 6800 (Vulkan),944,191,7.047027587890625,27.103625978165315,True
2601.07898v1_Large Language Models and Algorithm Execution Appl.pdf,AMD RX 6800 (Vulkan),802,107,4.1440651416778564,25.82005744163511,True
2601.07901v1_Decentralized Online Convex Optimization with Unkn.pdf,AMD RX 6800 (Vulkan),846,121,4.573052406311035,26.45935127115843,True
2601.07903v2_Enhancing Large Language Models for Time-Series Fo.pdf,AMD RX 6800 (Vulkan),937,121,4.685875654220581,25.822281453630758,True
2601.07935v1_Towards Specialized Generalists A Multi-Task MoE-L.pdf,AMD RX 6800 (Vulkan),789,141,5.165902853012085,27.294357639301534,True
2601.07939v1_SECite Analyzing and Summarizing Citations in Soft.pdf,AMD RX 6800 (Vulkan),824,145,5.337007522583008,27.168783140448493,True
2601.07941v2_Moonworks Lunara Aesthetic Dataset.pdf,AMD RX 6800 (Vulkan),595,127,4.464240074157715,28.448290837934287,True
2601.07946v1_Coupled Diffusion-Encoder Models for Reconstructio.pdf,AMD RX 6800 (Vulkan),781,126,4.659519910812378,27.041412508532915,True
2601.07948v1_Reinforcement Learning Methods for Neighborhood Se.pdf,AMD RX 6800 (Vulkan),942,134,5.0885233879089355,26.33376910842216,True
2601.07951v1_Hybrid SARIMA LSTM Model for Local Weather Forecas.pdf,AMD RX 6800 (Vulkan),772,139,5.075533628463745,27.3862829359427,True
2601.07953v1_Quantum automated theorem proving.pdf,AMD RX 6800 (Vulkan),841,137,5.129898548126221,26.706181168054773,True
2601.07957v1_LWMSCNN-SE A Lightweight Multi-Scale Network for E.pdf,AMD RX 6800 (Vulkan),833,140,5.22054648399353,26.817115876517402,True
2601.07958v1_LJ-Spoof A Generatively Varied Corpus for Audio An.pdf,AMD RX 6800 (Vulkan),938,167,6.207021474838257,26.90501405174399,True
2601.07964v1_Executable Ontologies in Game Development From Alg.pdf,AMD RX 6800 (Vulkan),617,117,4.2500245571136475,27.529252696708916,True
2601.07965v1_When Models Know When They Do Not Know Calibration.pdf,AMD RX 6800 (Vulkan),869,148,5.522333860397339,26.800263030339714,True
2601.07969v1_Tuberculosis Screening from Cough Audio Baseline M.pdf,AMD RX 6800 (Vulkan),834,126,4.705471754074097,26.77733638309624,True
2601.07973v1_Cultural Compass A Framework for Organizing Societ.pdf,AMD RX 6800 (Vulkan),971,177,6.460631370544434,27.396703177801694,True
2601.07988v1_From Word Sequences to Behavioral Sequences Adapti.pdf,AMD RX 6800 (Vulkan),901,207,7.352786064147949,28.15259388673475,True
2601.07994v2_DYCP Dynamic Context Pruning for Long-Form Dialogu.pdf,AMD RX 6800 (Vulkan),903,115,4.440654516220093,25.89708331957528,True
2601.08000v1_Reasoning over Precedents Alongside Statutes Case-.pdf,AMD RX 6800 (Vulkan),1087,202,7.363302230834961,27.4333435824614,True
2601.08003v1_LLM Review Enhancing Creative Writing via Blind Pe.pdf,AMD RX 6800 (Vulkan),940,163,6.024167776107788,27.05767934393657,True
2601.08005v1_Internal Deployment Gaps in AI Regulation.pdf,AMD RX 6800 (Vulkan),768,99,3.789665699005127,26.123676298410633,True
2601.08011v1_TP-Blend Textual-Prompt Attention Pairing for Prec.pdf,AMD RX 6800 (Vulkan),860,118,4.477869033813477,26.351820276330848,True
2601.08017v1_Representations of Text and Images Align From Laye.pdf,AMD RX 6800 (Vulkan),737,130,4.774322032928467,27.228996934725156,True
2601.08026v2_FigEx2 Visual-Conditioned Panel Detection and Capt.pdf,AMD RX 6800 (Vulkan),945,195,7.070668697357178,27.57872110071932,True
2601.08043v1_The Role of Noisy Data in Improving CNN Robustness.pdf,AMD RX 6800 (Vulkan),821,143,5.28037166595459,27.08142703703951,True
2601.08049v1_Integrating Attendance Tracking and Emotion Detect.pdf,AMD RX 6800 (Vulkan),555,114,4.0471508502960205,28.167964134981947,True
2601.08052v1_Forecast Aware Deep Reinforcement Learning for Eff.pdf,AMD RX 6800 (Vulkan),560,154,5.3090410232543945,29.007121874827664,True
2601.08058v1_Reasoning Beyond Chain-of-Thought A Latent Computa.pdf,AMD RX 6800 (Vulkan),896,141,5.293250799179077,26.637694934437548,True
2601.08065v1_A New Strategy for Verifying Reach-Avoid Specifica.pdf,AMD RX 6800 (Vulkan),672,126,4.638815879821777,27.162104136980943,True
2601.08070v1_Semantic Gravity Wells Why Negative Constraints Ba.pdf,AMD RX 6800 (Vulkan),840,106,4.134323358535767,25.639020175127644,True
2601.08079v1_MemoBrain Executive Memory as an Agentic Brain for.pdf,AMD RX 6800 (Vulkan),908,109,4.299769163131714,25.350198083799093,True
2601.08089v1_Q-realign Piggybacking Realignment on Quantization.pdf,AMD RX 6800 (Vulkan),1035,174,6.42462420463562,27.083296152084994,True
2601.08094v1_Local-Global Feature Fusion for Subject-Independen.pdf,AMD RX 6800 (Vulkan),804,121,4.57542085647583,26.44565468305335,True
2601.08104v1_High-Fidelity Modeling of Stochastic Chemical Dyna.pdf,AMD RX 6800 (Vulkan),920,219,7.749592304229736,28.259551135415155,True
2601.08107v1_STO-RL Offline RL under Sparse Rewards via LLM-Gui.pdf,AMD RX 6800 (Vulkan),940,142,5.362889051437378,26.47826547184315,True
2601.08108v1_Debiasing Large Language Models via Adaptive Causa.pdf,AMD RX 6800 (Vulkan),928,185,6.793222665786743,27.233024604320782,True
2601.08109v1_CSQL Mapping Documents into Causal Databases.pdf,AMD RX 6800 (Vulkan),818,98,3.865183115005493,25.354555549914927,True
2601.08118v1_MirrorBench An Extensible Framework to Evaluate Us.pdf,AMD RX 6800 (Vulkan),942,178,6.5664894580841064,27.10733050532221,True
2601.08125v1_How vehicles change lanes after encountering crash.pdf,AMD RX 6800 (Vulkan),389,89,3.079664468765259,28.899252143426878,True
2601.08127v1_PathoGen Diffusion-Based Synthesis of Realistic Le.pdf,AMD RX 6800 (Vulkan),700,124,4.563529968261719,27.171948220432633,True
2601.08128v1_Embedded AI Companion System on Edge Devices.pdf,AMD RX 6800 (Vulkan),816,107,4.167474269866943,25.675023544516385,True
2601.08133v1_How Do Optical Flow and Textual Prompts Collaborat.pdf,AMD RX 6800 (Vulkan),984,135,5.149338483810425,26.21695979482441,True
2601.08139v1_Subspace Alignment for Vision-Language Model Test-.pdf,AMD RX 6800 (Vulkan),1001,193,7.09997820854187,27.183182022700407,True
2601.08141v1_Qalb Largest State-of-the-Art Urdu Large Language .pdf,AMD RX 6800 (Vulkan),927,122,4.707298517227173,25.91720060954705,True
2601.08146v2_Mechanisms are Transferable Data-Efficient Low-Res.pdf,AMD RX 6800 (Vulkan),989,164,6.136587142944336,26.724952515106427,True
2601.08148v1_Enriching Semantic Profiles into Knowledge Graph f.pdf,AMD RX 6800 (Vulkan),1046,114,4.56343412399292,24.981186734049338,True
2601.08149v1_Dynamic Graph Structure Learning via Resistance Cu.pdf,AMD RX 6800 (Vulkan),328,135,4.457870721817017,30.283516150278658,True
2601.08156v1_Project Synapse A Hierarchical Multi-Agent Framewo.pdf,AMD RX 6800 (Vulkan),496,161,5.39872145652771,29.821875660084565,True
2601.08160v1_SwiftMem Fast Agentic Memory via Query-aware Index.pdf,AMD RX 6800 (Vulkan),909,178,6.433294057846069,27.668562698903923,True
2601.08166v1_ZeroDVFS Zero-Shot LLM-Guided Core and Frequency A.pdf,AMD RX 6800 (Vulkan),793,144,5.223248481750488,27.569050276493968,True
2601.08173v1_The Agents First Day Benchmarking Learning Explora.pdf,AMD RX 6800 (Vulkan),1024,173,6.469832897186279,26.73948504531507,True
2601.08176v1_Prompt-Based Clarity Evaluation and Topic Detectio.pdf,AMD RX 6800 (Vulkan),881,138,5.213605880737305,26.46920445403597,True
2601.08179v1_Instruction-Driven 3D Facial Expression Generation.pdf,AMD RX 6800 (Vulkan),874,146,5.473699331283569,26.673003240344833,True
2601.08183v2_GI-Bench A Panoramic Benchmark Revealing the Knowl.pdf,AMD RX 6800 (Vulkan),598,211,7.192505598068237,29.336091174773692,True
2601.08185v1_Autonomous Materials Exploration by Integrating Au.pdf,AMD RX 6800 (Vulkan),877,220,7.815752983093262,28.14827956767513,True
2601.08187v2_Improving LLM Reasoning with Homophily-aware Struc.pdf,AMD RX 6800 (Vulkan),838,349,11.946449995040894,29.213699479332675,True
2601.08189v2_ForgetMark Stealthy Fingerprint Embedding via Targ.pdf,AMD RX 6800 (Vulkan),976,146,5.532807350158691,26.388050542879004,True
2601.08196v1_Evaluating Implicit Regulatory Compliance in LLM T.pdf,AMD RX 6800 (Vulkan),953,194,7.054301977157593,27.50094915530805,True
2601.08211v1_Adapting Rules of Official International Mahjong f.pdf,AMD RX 6800 (Vulkan),830,110,4.265419006347656,25.78879116830061,True
2601.08223v2_DNF Dual-Layer Nested Fingerprinting for Large Lan.pdf,AMD RX 6800 (Vulkan),1018,141,5.401895046234131,26.101951036293556,True
2601.08224v1_An Axiomatic Approach to General Intelligence SANC.pdf,AMD RX 6800 (Vulkan),811,126,4.7890214920043945,26.310176350297404,True
2601.08226v1_Knowledge-based learning in Text-RAG and Image-RAG.pdf,AMD RX 6800 (Vulkan),831,130,4.910320043563843,26.474852727857588,True
2601.08230v1_GADPN Graph Adaptive Denoising and Perturbation Ne.pdf,AMD RX 6800 (Vulkan),870,104,4.193801641464233,24.79850238307628,True
2601.08235v2_MPCI-Bench A Benchmark for Multimodal Pairwise Con.pdf,AMD RX 6800 (Vulkan),922,129,5.047753095626831,25.555925093039985,True
2601.08237v1_The End of Reward Engineering How LLMs Are Redefin.pdf,AMD RX 6800 (Vulkan),693,132,5.018666744232178,26.3018061822304,True
2601.08251v1_Hyperbolic Heterogeneous Graph Transformer.pdf,AMD RX 6800 (Vulkan),863,134,5.100615978240967,26.27133675062755,True
2601.08254v1_Large Artificial Intelligence Model Guided Deep Re.pdf,AMD RX 6800 (Vulkan),908,133,5.066349267959595,26.251644520663692,True
2601.08257v2_On Evaluation of Unsupervised Feature Selection fo.pdf,AMD RX 6800 (Vulkan),741,146,5.236001491546631,27.88387288195251,True
2601.08258v1_T3 Benchmarking Sycophancy and Skepticism in Causa.pdf,AMD RX 6800 (Vulkan),952,138,5.267199993133545,26.199878527471956,True
2601.08262v1_VGG Induced Deep Hand Sign Language Detection.pdf,AMD RX 6800 (Vulkan),538,107,3.671013832092285,29.147261463467604,True
2601.08271v1_Sparsity Is Necessary Polynomial-Time Stability fo.pdf,AMD RX 6800 (Vulkan),854,191,6.895699501037598,27.698422759179135,True
2601.08273v1_HIPPO Accelerating Video Large Language Models Inf.pdf,AMD RX 6800 (Vulkan),956,149,5.60386848449707,26.588775309806774,True
2601.08276v1_ToolACE-MCP Generalizing History-Aware Routing fro.pdf,AMD RX 6800 (Vulkan),1016,173,6.462691068649292,26.76903447222291,True
2601.08280v1_Greedy Is Enough Sparse Action Discovery in Agenti.pdf,AMD RX 6800 (Vulkan),763,124,4.647097826004028,26.683320352355437,True
2601.08288v1_OpenMic A Multi-Agent-Based Stand-Up Comedy Genera.pdf,AMD RX 6800 (Vulkan),876,122,4.668435335159302,26.132952743542067,True
2601.08297v1_Demystifying the Slash Pattern in Attention The Ro.pdf,AMD RX 6800 (Vulkan),777,175,6.230685472488403,28.08679731511286,True
2601.08302v1_Enhancing Sentiment Classification and Irony Detec.pdf,AMD RX 6800 (Vulkan),873,138,5.172097444534302,26.68163186790569,True
2601.08310v1_ORBIT On-policy Exploration-Exploitation for Contr.pdf,AMD RX 6800 (Vulkan),937,166,6.133891820907593,27.06275311771606,True
2601.08311v1_Enhancing Image Quality Assessment Ability of LMMs.pdf,AMD RX 6800 (Vulkan),947,173,6.357422113418579,27.21228776595623,True
2601.08323v1_AtomMem  Learnable Dynamic Agentic Memory with Ato.pdf,AMD RX 6800 (Vulkan),981,132,5.1024556159973145,25.869896758366917,True
2601.08327v1_Safe Heterogeneous Multi-Agent RL with Communicati.pdf,AMD RX 6800 (Vulkan),826,148,5.458635330200195,27.113003717464323,True
2601.08332v1_IGAN A New Inception-based Model for Stable and Hi.pdf,AMD RX 6800 (Vulkan),735,154,5.57655668258667,27.61560740176455,True
2601.08333v1_Semantic Laundering in AI Agent Architectures Why .pdf,AMD RX 6800 (Vulkan),516,135,4.680675506591797,28.841990821598177,True
2601.08360v1_Scalable Sequential Recommendation under Latency a.pdf,AMD RX 6800 (Vulkan),599,187,6.448095321655273,29.000811971867023,True
2601.08371v1_Geo-NVS-w Geometry-Aware Novel View Synthesis In-t.pdf,AMD RX 6800 (Vulkan),877,174,6.379344701766968,27.275528778340668,True
2601.08379v1_Training-Free Distribution Adaptation for Diffusio.pdf,AMD RX 6800 (Vulkan),773,146,5.2725889682769775,27.69038149539488,True
2601.08380v1_Thematic Working Group 5 -- Artificial Intelligenc.pdf,AMD RX 6800 (Vulkan),666,249,8.472091913223267,29.390615983681673,True
2601.08382v2_A Qualitative Model to Reason about Object Rotatio.pdf,AMD RX 6800 (Vulkan),985,112,4.387102127075195,25.529380615232782,True
2601.08383v1_Deconstructing Pre-training Knowledge Attribution .pdf,AMD RX 6800 (Vulkan),1059,155,5.885272264480591,26.336929378012325,True
2601.08388v1_Creativity in AI as Emergence from Domain-Limited .pdf,AMD RX 6800 (Vulkan),751,104,3.960599899291992,26.258648347335292,True
2601.08393v1_Controlled LLM Training on Spectral Sphere.pdf,AMD RX 6800 (Vulkan),729,224,7.8535120487213135,28.522271133011255,True
2601.08401v1_An Explainable Two Stage Deep Learning Framework f.pdf,AMD RX 6800 (Vulkan),564,147,5.079672574996948,28.938873092639895,True
2601.08402v1_PATS Personality-Aware Teaching Strategies with La.pdf,AMD RX 6800 (Vulkan),942,171,6.360753059387207,26.883609283909866,True
2601.08403v1_Owen-Shapley Policy Optimization OSPO A Principled.pdf,AMD RX 6800 (Vulkan),929,179,6.596167325973511,27.13697078228407,True
2601.08406v1_WebTrap Park An Automated Platform for Systematic .pdf,AMD RX 6800 (Vulkan),833,156,5.686150789260864,27.435079684244226,True
2601.08412v1_Hybrid Distillation with CoT Guidance for Edge-Dro.pdf,AMD RX 6800 (Vulkan),795,145,5.272687911987305,27.500205288150408,True
2601.08415v2_Regulatory gray areas of LLM Terms.pdf,AMD RX 6800 (Vulkan),626,111,4.053197860717773,27.385783722964664,True
2601.08418v1_Taxon Hierarchical Tax Code Prediction with Semant.pdf,AMD RX 6800 (Vulkan),860,165,6.067750692367554,27.192943211649858,True
2601.08430v1_RubricHub A Comprehensive and Highly Discriminativ.pdf,AMD RX 6800 (Vulkan),975,197,7.147322177886963,27.562770377064652,True
2601.08434v3_Large Multimodal Models for Embodied Intelligent D.pdf,AMD RX 6800 (Vulkan),883,149,5.5350611209869385,26.91930526928532,True
2601.08441v1_YaPO Learnable Sparse Activation Steering Vectors .pdf,AMD RX 6800 (Vulkan),955,182,6.679364442825317,27.24810145604444,True
2601.08444v1_Beyond Linearization Attributed Table Graphs for T.pdf,AMD RX 6800 (Vulkan),1127,185,7.025897979736328,26.33115375907334,True
2601.08448v1_Divide and Conquer Static-Dynamic Collaboration fo.pdf,AMD RX 6800 (Vulkan),976,141,5.337967395782471,26.414548749661552,True
2601.08450v1_Decoding Order Matters in Autoregressive Speech Sy.pdf,AMD RX 6800 (Vulkan),973,100,4.069835186004639,24.571019569509915,True
2601.08457v1_An Under-Explored Application for Explainable Mult.pdf,AMD RX 6800 (Vulkan),910,137,5.905272006988525,23.19960872892374,True
2601.08462v1_M3-BENCH Process-Aware Evaluation of LLM Agents So.pdf,AMD RX 6800 (Vulkan),875,180,6.576436758041382,27.37044491150984,True
2601.08464v1_CoMa Contextual Massing Generation with Vision-Lan.pdf,AMD RX 6800 (Vulkan),612,135,4.792876958847046,28.166798596990276,True
2601.08468v1_JudgeRLVR Judge First Generate Second for Efficien.pdf,AMD RX 6800 (Vulkan),786,158,5.718505859375,27.629594842676003,True
2601.08472v1_sui-1 Grounded and Verifiable Long-Form Summarizat.pdf,AMD RX 6800 (Vulkan),676,142,5.200629949569702,27.304384541289853,True
2601.08475v1_SUMMPILOT Bridging Efficiency and Customization fo.pdf,AMD RX 6800 (Vulkan),858,133,5.1035895347595215,26.06008949077189,True
2601.08490v1_BenchOverflow Measuring Overflow in Large Language.pdf,AMD RX 6800 (Vulkan),774,117,4.427698850631714,26.424561368555416,True
2601.08493v1_PKI Prior Knowledge-Infused Neural Network for Few.pdf,AMD RX 6800 (Vulkan),616,142,5.084078073501587,27.930334260622303,True
2601.08499v2_EfficientFSL Enhancing Few-Shot Classification via.pdf,AMD RX 6800 (Vulkan),913,128,4.904628038406372,26.097799669552554,True
2601.08503v1_Temporal Fusion Nexus A task-agnostic multi-modal .pdf,AMD RX 6800 (Vulkan),607,220,7.330310821533203,30.01236991939517,True
2601.08509v1_What If TSF A Benchmark for Reframing Forecasting .pdf,AMD RX 6800 (Vulkan),936,148,5.5346527099609375,26.74061187861678,True
2601.08510v2_STAGE A Benchmark for Knowledge Graph Construction.pdf,AMD RX 6800 (Vulkan),569,181,6.303267240524292,28.715266716970866,True
2601.08519v1_CD2 Constrained Dataset Distillation for Few-Shot .pdf,AMD RX 6800 (Vulkan),910,145,5.470985412597656,26.50345213242913,True
2601.08531v1_Sketch-Based Facade Renovation With Generative AI .pdf,AMD RX 6800 (Vulkan),676,129,4.851738691329956,26.58840638522488,True
2601.08545v2_Learner-Tailored Program Repair A Solution Generat.pdf,AMD RX 6800 (Vulkan),966,179,9.003479242324829,19.881203164053677,True
2601.08549v1_Contrastive and Multi-Task Learning on Noisy Brain.pdf,AMD RX 6800 (Vulkan),834,162,8.523492813110352,19.00629279006616,True
2601.08557v1_VideoHEDGE Entropy-Based Hallucination Detection f.pdf,AMD RX 6800 (Vulkan),896,147,6.962673902511597,21.112578595268367,True
2601.08559v1_WaterCopilot An AI-Driven Virtual Assistant for Wa.pdf,AMD RX 6800 (Vulkan),785,157,6.597540378570557,23.796747119570657,True
2601.08565v1_Rewriting Video Text-Driven Reauthoring of Video F.pdf,AMD RX 6800 (Vulkan),851,125,5.571544408798218,22.43543097361087,True
2601.08602v1_WaveFormer Frequency-Time Decoupled Vision Modelin.pdf,AMD RX 6800 (Vulkan),959,164,7.276945114135742,22.536929635682394,True
2601.08605v1_ExpSeek Self-Triggered Experience Seeking for Web .pdf,AMD RX 6800 (Vulkan),1011,142,5.800002813339233,24.482746745125525,True
2601.08611v1_VeriTaS The First Dynamic Benchmark for Multimodal.pdf,AMD RX 6800 (Vulkan),1300,133,6.079782962799072,21.87578089773917,True
2601.08620v1_ViDoRe V3 A Comprehensive Evaluation of Retrieval .pdf,AMD RX 6800 (Vulkan),1020,222,8.790340423583984,25.254994607988856,True
2601.08623v1_SafeRedir Prompt Embedding Redirection for Robust .pdf,AMD RX 6800 (Vulkan),916,162,7.803056240081787,20.761096039249104,True
2601.08631v1_M2FMoE Multi-Resolution Multi-View Frequency Mixtu.pdf,AMD RX 6800 (Vulkan),885,166,6.317953824996948,26.274329410769347,True
2601.08634v1_Moral Lenses Political Coordinates Towards Ideolog.pdf,AMD RX 6800 (Vulkan),910,166,6.150755167007446,26.988555956579344,True
2601.08641v1_Resisting Manipulative Bots in Memecoin Copy Tradi.pdf,AMD RX 6800 (Vulkan),920,154,5.785511493682861,26.618216931752873,True
2601.08653v1_Prism Towards Lowering User Cognitive Load in LLMs.pdf,AMD RX 6800 (Vulkan),861,100,3.9609522819519043,25.246454105405515,True
2601.08654v1_RULERS Locked Rubrics and Evidence-Anchored Scorin.pdf,AMD RX 6800 (Vulkan),977,144,5.562443733215332,25.88790231533035,True
2601.08659v1_TRACE Reconstruction-Based Anomaly Detection in En.pdf,AMD RX 6800 (Vulkan),1011,157,6.064170837402344,25.88977194238359,True
2601.08662v1_From Classical to Quantum Reinforcement Learning a.pdf,AMD RX 6800 (Vulkan),910,132,5.1195056438446045,25.78373952155109,True
2601.08670v1_Parallel Context-of-Experts Decoding for Retrieval.pdf,AMD RX 6800 (Vulkan),1028,115,4.676223516464233,24.592494262753572,True
2601.08673v1_Why AI Alignment Failure Is Structural Learned Hum.pdf,AMD RX 6800 (Vulkan),641,145,5.489515066146851,26.413990717358036,True
2601.08676v2_Advancing ESG Intelligence An Expert-level Agent a.pdf,AMD RX 6800 (Vulkan),948,184,7.022804260253906,26.20036002446515,True
2601.08679v1_PersonaDual Balancing Personalization and Objectiv.pdf,AMD RX 6800 (Vulkan),1123,159,6.0505053997039795,26.278796480006292,True
2601.08682v1_Lessons from the Field An Adaptable Lifecycle Appr.pdf,AMD RX 6800 (Vulkan),913,211,7.6403281688690186,27.616614801931195,True
2601.08683v1_Region of interest detection for efficient aortic .pdf,AMD RX 6800 (Vulkan),849,116,4.508485317230225,25.72926201105259,True
2601.08684v1_MEMEWEAVER Inter-Meme Graph Reasoning for Sexism a.pdf,AMD RX 6800 (Vulkan),985,157,5.661635398864746,27.730503456913027,True
2601.08690v1_All Required In Order Phase-Level Evaluation for A.pdf,AMD RX 6800 (Vulkan),918,144,5.3403637409210205,26.96445541650786,True
2601.08697v2_Auditing Student-AI Collaboration A Case Study of .pdf,AMD RX 6800 (Vulkan),909,117,4.531170845031738,25.821140716485274,True
